IC208,,,,
15,0.029,0.021,0.02,0.022
16,0.029,0.021,0.02,0.022
17,0.031,0.022,0.02,0.022
18,0.031,0.022,0.02,0.022
19,0.031,0.022,0.02,0.021
20,0.027,0.022,0.02,0.02
,,,,
NGC2357,,,,
Arcminute,North,East,South,West
0,0.178,0.178,0.178,0.178
1,0.177,0.179,0.178,0.178
2,0.175,0.182,0.178,0.176
3,0.175,0.182,0.178,0.173
4,0.172,0.181,0.178,0.17
5,0.167,0.181,0.177,0.17
6,0.167,0.181,0.175,0.165
7,0.159,0.182,0.178,0.16
8,0.152,0.175,0.175,0.16
9,0.152,0.175,0.172,0.154
10,0.147,0.177,0.172,0.151
11,0.143,0.172,0.168,0.146
12,0.143,0.172,0.163,0.146
13,0.138,0.172,0.163,0.145
14,0.137,0.169,0.16,0.144
15,0.137,0.169,0.157,0.144
16,0.137,0.171,0.157,0.144
17,0.137,0.17,0.155,0.147
18,0.137,0.17,0.152,0.148
19,0.137,0.172,0.152,0.151
20,0.138,0.173,0.15,0.151
,,,,
NGC5490,,,,
Arcminute,North,East,South,West
0,0.073,0.073,0.073,0.073
1,0.074,0.073,0.072,0.071
2,0.074,0.074,0.072,0.069
3,0.074,0.074,0.071,0.067
4,0.074,0.074,0.069,0.067
5,0.074,0.072,0.069,0.065
6,0.072,0.072,0.068,0.065
7,0.068,0.072,0.067,0.065
8,0.068,0.069,0.067,0.064
9,0.066,0.069,0.064,0.064
10,0.065,0.069,0.063,0.064
11,0.065,0.069,0.063,0.065
12,0.065,0.069,0.062,0.065
13,0.063,0.069,0.06,0.064
14,0.063,0.07,0.06,0.064
15,0.063,0.07,0.059,0.063
16,0.062,0.07,0.054,0.063
17,0.062,0.071,0.054,0.063
18,0.062,0.07,0.053,0.061
19,0.064,0.07,0.053,0.061
20,0.064,0.069,0.053,0.061
,,,,
NGC2748,,,,
Arcminute,North,East,South,West
0,0.071,0.071,0.071,0.071
1,0.073,0.071,0.071,0.068
2,0.074,0.073,0.071,0.058
3,0.074,0.074,0.071,0.05
4,0.077,0.074,0.071,0.047
5,0.087,0.077,0.068,0.051
6,0.087,0.077,0.066,0.055
7,0.096,0.077,0.066,0.057
8,0.109,0.077,0.065,0.054
9,0.109,0.076,0.061,0.049
10,0.109,0.076,0.061,0.05
11,0.106,0.077,0.057,0.052
12,0.106,0.077,0.055,0.05
13,0.098,0.077,0.055,0.047
14,0.09,0.078,0.052,0.046
15,0.09,0.077,0.051,0.042
16,0.071,0.077,0.051,0.041
17,0.059,0.077,0.05,0.04
18,0.059,0.077,0.05,0.042
19,0.053,0.077,0.05,0.047
20,0.046,0.078,0.05,0.051
,,,,
UGC5623,,,,
Arcminute,North,East,South,West
0,0.065,0.065,0.065,0.065
1,0.065,0.064,0.065,0.067
2,0.064,0.064,0.063,0.067
3,0.063,0.058,0.063,0.067
4,0.06,0.055,0.061,0.067
5,0.06,0.055,0.059,0.064
6,0.059,0.049,0.059,0.062
7,0.057,0.049,0.057,0.059
8,0.057,0.049,0.057,0.057
9,0.054,0.049,0.057,0.057
10,0.053,0.049,0.056,0.056
11,0.053,0.049,0.057,0.056
12,0.053,0.05,0.057,0.056
13,0.054,0.05,0.058,0.058
14,0.054,0.051,0.06,0.058
15,0.054,0.051,0.059,0.058
16,0.054,0.052,0.061,0.059
17,0.054,0.051,0.064,0.06
18,0.054,0.051,0.064,0.06
19,0.054,0.05,0.065,0.06
20,0.054,0.049,0.067,0.062
,,,,
NGC2668,,,,
Arcminute,North,East,South,West
0,0.095,0.095,0.095,0.095
1,0.095,0.095,0.092,0.095
2,0.094,0.095,0.09,0.093
3,0.092,0.092,0.09,0.091
4,0.092,0.092,0.088,0.089
5,0.089,0.092,0.087,0.089
6,0.087,0.092,0.087,0.088
7,0.087,0.092,0.087,0.091
8,0.086,0.091,0.088,0.091
9,0.086,0.091,0.088,0.092
10,0.086,0.091,0.09,0.091
11,0.087,0.09,0.091,0.09
12,0.088,0.09,0.091,0.089
13,0.088,0.09,0.091,0.085
14,0.088,0.087,0.09,0.084
15,0.088,0.086,0.09,0.078
16,0.088,0.084,0.087,0.078
17,0.087,0.084,0.086,0.078
18,0.085,0.084,0.086,0.078
19,0.085,0.083,0.084,0.078
20,0.085,0.083,0.083,0.079
,,,,
IC831,,,,
Arcminute,North,East,South,West
0,0.032,0.032,0.032,0.032
1,0.033,0.032,0.031,0.032
2,0.033,0.03,0.031,0.033
3,0.032,0.03,0.03,0.033
4,0.032,0.029,0.029,0.033
5,0.032,0.028,0.029,0.033
6,0.03,0.028,0.029,0.031
7,0.03,0.027,0.029,0.031
8,0.03,0.026,0.029,0.029
9,0.031,0.026,0.03,0.029
10,0.03,0.026,0.03,0.028
11,0.03,0.026,0.03,0.027
12,0.031,0.026,0.03,0.027
13,0.031,0.026,0.029,0.027
14,0.031,0.026,0.029,0.027
15,0.031,0.026,0.028,0.027
16,0.03,0.026,0.028,0.027
17,0.03,0.025,0.028,0.027
18,0.029,0.025,0.026,0.026
19,0.029,0.025,0.025,0.026
20,0.029,0.024,0.026,0.027
,,,,
NGC4080,,,,
Arcminute,North,East,South,West
0,0.068,0.068,0.068,0.068
1,0.07,0.066,0.068,0.068
2,0.067,0.066,0.065,0.068
3,0.067,0.064,0.06,0.066
4,0.065,0.06,0.06,0.064
5,0.06,0.06,0.059,0.061
6,0.06,0.058,0.056,0.061
7,0.059,0.057,0.056,0.06
8,0.057,0.057,0.055,0.059
9,0.057,0.056,0.053,0.058
10,0.056,0.056,0.053,0.058
11,0.055,0.056,0.052,0.057
12,0.055,0.055,0.052,0.057
13,0.056,0.055,0.052,0.057
14,0.056,0.055,0.052,0.057
15,0.056,0.053,0.053,0.058
16,0.057,0.053,0.053,0.058
17,0.058,0.053,0.053,0.057
18,0.058,0.052,0.053,0.057
19,0.058,0.051,0.053,0.056
20,0.058,0.051,0.053,0.055
,,,,
M61,,,,
Arcminute,North,East,South,West
0,0.06,0.06,0.06,0.06
1,0.06,0.06,0.06,0.06
2,0.06,0.06,0.06,0.06
3,0.061,0.06,0.06,0.06
4,0.061,0.06,0.06,0.06
5,0.061,0.06,0.06,0.06
6,0.061,0.06,0.06,0.06
7,0.061,0.059,0.058,0.06
8,0.061,0.059,0.057,0.058
9,0.06,0.059,0.057,0.056
10,0.06,0.056,0.055,0.056
11,0.057,0.055,0.052,0.053
12,0.054,0.055,0.052,0.051
13,0.054,0.053,0.049,0.051
14,0.051,0.052,0.048,0.049
15,0.05,0.052,0.048,0.048
16,0.05,0.052,0.046,0.048
17,0.049,0.053,0.045,0.047
18,0.048,0.053,0.045,0.047
19,0.048,0.054,0.045,0.047
20,0.048,0.058,0.045,0.047
,,,,
NGC1448,,,,
Arcminute,North,East,South,West
0,0.038,0.038,0.038,0.038
1,0.038,0.038,0.038,0.038
2,0.039,0.037,0.038,0.038
3,0.039,0.035,0.038,0.038
4,0.039,0.035,0.038,0.038
5,0.039,0.034,0.037,0.036
6,0.039,0.03,0.034,0.034
7,0.039,0.03,0.034,0.031
8,0.039,0.03,0.032,0.031
9,0.039,0.026,0.032,0.028
10,0.037,0.026,0.029,0.028
11,0.036,0.025,0.028,0.027
12,0.036,0.025,0.028,0.028
13,0.036,0.025,0.028,0.028
14,0.036,0.025,0.026,0.028
15,0.036,0.025,0.026,0.027
16,0.036,0.025,0.024,0.027
17,0.036,0.026,0.022,0.027
18,0.036,0.027,0.022,0.027
19,0.037,0.027,0.022,0.028
20,0.037,0.027,0.022,0.03
,,,,
UGC2855,,,,
Arcminute,North,East,South,West
0,1.943,1.943,1.943,1.943
1,1.943,1.943,1.924,1.992
2,1.977,1.858,1.9,2.077
3,1.981,1.719,1.9,2.146
4,1.981,1.719,1.876,2.127
5,1.974,1.628,1.891,2.046
6,1.962,1.516,1.891,1.979
7,1.962,1.516,1.872,1.956
8,1.941,1.473,1.808,1.973
9,1.887,1.453,1.808,1.993
10,1.887,1.453,1.798,2.016
11,1.868,1.448,1.788,2.064
12,1.853,1.442,1.788,2.134
13,1.853,1.442,1.757,2.183
14,1.833,1.437,1.761,2.255
15,1.811,1.422,1.761,2.301
16,1.811,1.422,1.78,2.266
17,1.776,1.387,1.729,2.089
18,1.772,1.368,1.729,1.916
19,1.772,1.368,1.743,1.866
20,1.857,1.346,1.767,1.819
,,,,
UGC12850,,,,
Arcminute,North,East,South,West
0,0.17,0.17,0.17,0.17
1,0.17,0.17,0.166,0.163
2,0.166,0.171,0.161,0.156
3,0.165,0.169,0.161,0.151
4,0.165,0.169,0.159,0.139
5,0.157,0.167,0.156,0.139
6,0.15,0.166,0.156,0.134
7,0.15,0.166,0.151,0.129
8,0.146,0.163,0.149,0.125
9,0.14,0.16,0.149,0.125
10,0.14,0.16,0.145,0.124
11,0.139,0.157,0.143,0.121
12,0.135,0.154,0.143,0.119
13,0.135,0.154,0.142,0.119
14,0.134,0.153,0.143,0.118
15,0.135,0.151,0.143,0.116
16,0.135,0.151,0.145,0.116
17,0.135,0.149,0.148,0.116
18,0.136,0.149,0.148,0.115
19,0.136,0.149,0.149,0.115
20,0.137,0.148,0.152,0.117
,,,,
PGC9204,,,,
Arcminute,North,East,South,West
0,0.045,0.045,0.045,0.045
1,0.045,0.046,0.045,0.044
2,0.045,0.046,0.045,0.044
3,0.04,0.044,0.044,0.042
4,0.036,0.04,0.039,0.036
5,0.036,0.04,0.038,0.035
6,0.035,0.038,0.038,0.035
7,0.033,0.036,0.036,0.032
8,0.033,0.036,0.035,0.031
9,0.033,0.035,0.035,0.033
10,0.035,0.035,0.034,0.033
11,0.035,0.035,0.033,0.035
12,0.035,0.037,0.033,0.036
13,0.036,0.039,0.033,0.036
14,0.036,0.039,0.032,0.036
15,0.037,0.04,0.032,0.036
16,0.036,0.041,0.032,0.035
17,0.036,0.041,0.032,0.034
18,0.036,0.04,0.032,0.034
19,0.037,0.039,0.032,0.034
20,0.037,0.039,0.033,0.033
,,,,
NGC2615,,,,
Arcminute,North,East,South,West
0,0.096,0.096,0.096,0.096
1,0.096,0.093,0.096,0.093
2,0.095,0.093,0.086,0.093
3,0.088,0.088,0.086,0.091
4,0.088,0.085,0.083,0.084
5,0.084,0.085,0.079,0.084
6,0.078,0.084,0.079,0.081
7,0.078,0.081,0.076,0.079
8,0.074,0.081,0.076,0.079
9,0.073,0.081,0.076,0.078
10,0.073,0.079,0.075,0.078
11,0.071,0.079,0.075,0.078
12,0.07,0.079,0.075,0.078
13,0.07,0.079,0.075,0.078
14,0.068,0.079,0.075,0.078
15,0.068,0.076,0.075,0.079
16,0.068,0.075,0.076,0.079
17,0.068,0.075,0.076,0.079
18,0.068,0.075,0.076,0.079
19,0.068,0.076,0.077,0.08
20,0.069,0.076,0.077,0.08
,,,,
M61,,,,
Arcminute,North,East,South,West
0,0.06,0.06,0.06,0.06
1,0.06,0.06,0.06,0.06
2,0.06,0.06,0.06,0.06
3,0.061,0.06,0.06,0.06
4,0.061,0.06,0.06,0.06
5,0.061,0.06,0.06,0.06
6,0.061,0.06,0.06,0.06
7,0.061,0.059,0.058,0.06
8,0.061,0.059,0.057,0.058
9,0.06,0.059,0.057,0.056
10,0.06,0.056,0.055,0.056
11,0.057,0.055,0.052,0.053
12,0.054,0.055,0.052,0.051
13,0.054,0.053,0.049,0.051
14,0.051,0.052,0.048,0.049
15,0.05,0.052,0.048,0.048
16,0.05,0.052,0.046,0.048
17,0.049,0.053,0.045,0.047
18,0.048,0.053,0.045,0.047
19,0.048,0.054,0.045,0.047
20,0.048,0.058,0.045,0.047
,,,,
UGC5055,,,,
Arcminute,North,East,South,West
0,0.091,0.091,0.091,0.091
1,0.091,0.092,0.091,0.091
2,0.09,0.095,0.092,0.088
3,0.09,0.095,0.091,0.086
4,0.088,0.093,0.091,0.082
5,0.085,0.099,0.088,0.077
6,0.085,0.099,0.085,0.073
7,0.075,0.101,0.085,0.072
8,0.07,0.105,0.08,0.069
9,0.068,0.105,0.076,0.065
10,0.063,0.103,0.076,0.056
11,0.055,0.099,0.073,0.057
12,0.055,0.099,0.068,0.054
13,0.053,0.093,0.067,0.052
14,0.051,0.088,0.063,0.052
15,0.051,0.088,0.06,0.051
16,0.049,0.081,0.06,0.052
17,0.049,0.079,0.057,0.053
18,0.049,0.079,0.055,0.055
19,0.049,0.077,0.055,0.056
20,0.052,0.078,0.054,0.057
,,,,
M82,,,,
Arcminute,North,East,South,West
0,0.419,0.419,0.419,0.419
1,0.418,0.406,0.419,0.431
2,0.419,0.406,0.424,0.42
3,0.419,0.398,0.425,0.368
4,0.428,0.374,0.425,0.308
5,0.433,0.374,0.42,0.266
6,0.433,0.36,0.374,0.254
7,0.437,0.338,0.403,0.259
8,0.405,0.338,0.346,0.267
9,0.405,0.309,0.31,0.27
10,0.379,0.293,0.31,0.257
11,0.308,0.284,0.24,0.253
12,0.308,0.243,0.217,0.245
13,0.271,0.203,0.217,0.232
14,0.245,0.203,0.201,0.233
15,0.245,0.169,0.195,0.228
16,0.214,0.156,0.195,0.221
17,0.208,0.156,0.201,0.228
18,0.208,0.151,0.208,0.229
19,0.202,0.142,0.208,0.234
20,0.205,0.142,0.224,0.247
,,,,
2MASXJ03584923-2925086,,,,
Arcminute,North,East,South,West
0,0.025,0.025,0.025,0.025
1,0.026,0.025,0.022,0.025
2,0.026,0.025,0.022,0.025
3,0.025,0.025,0.02,0.023
4,0.025,0.024,0.019,0.023
5,0.025,0.024,0.019,0.023
6,0.025,0.024,0.018,0.023
7,0.024,0.024,0.018,0.022
8,0.024,0.024,0.018,0.022
9,0.024,0.024,0.018,0.022
10,0.024,0.023,0.019,0.022
11,0.024,0.024,0.019,0.021
12,0.023,0.024,0.02,0.021
13,0.023,0.023,0.021,0.021
14,0.023,0.022,0.021,0.021
15,0.021,0.022,0.022,0.022
16,0.021,0.02,0.023,0.022
17,0.021,0.019,0.023,0.022
18,0.021,0.019,0.024,0.022
19,0.021,0.018,0.024,0.024
20,0.021,0.019,0.024,0.024
,,,,
SDSSJ103247.83+041145.5,,,,
Arcminute,North,East,South,West
0,0.124,0.124,0.124,0.124
1,0.124,0.13,0.122,0.124
2,0.129,0.134,0.121,0.12
3,0.127,0.134,0.121,0.117
4,0.127,0.136,0.119,0.117
5,0.129,0.136,0.116,0.11
6,0.128,0.136,0.116,0.107
7,0.128,0.134,0.111,0.107
8,0.126,0.132,0.112,0.107
9,0.117,0.132,0.112,0.107
10,0.117,0.13,0.109,0.107
11,0.111,0.13,0.109,0.108
12,0.104,0.13,0.109,0.11
13,0.104,0.129,0.109,0.11
14,0.101,0.127,0.11,0.11
15,0.096,0.127,0.11,0.112
16,0.096,0.125,0.109,0.112
17,0.095,0.12,0.106,0.113
18,0.093,0.12,0.106,0.114
19,0.093,0.116,0.106,0.114
20,0.093,0.114,0.101,0.116
,,,,
UGC6483,,,,
Arcminute,North,East,South,West
0,0.082,0.082,0.082,0.082
1,0.084,0.084,0.082,0.084
2,0.082,0.08,0.075,0.08
3,0.077,0.078,0.074,0.08
4,0.077,0.078,0.074,0.078
5,0.074,0.072,0.067,0.074
6,0.07,0.072,0.066,0.072
7,0.07,0.072,0.066,0.072
8,0.069,0.072,0.064,0.07
9,0.067,0.073,0.063,0.07
10,0.067,0.073,0.063,0.07
11,0.065,0.073,0.063,0.07
12,0.063,0.073,0.062,0.068
13,0.063,0.073,0.062,0.068
14,0.061,0.073,0.063,0.067
15,0.061,0.072,0.065,0.066
16,0.061,0.072,0.065,0.066
17,0.061,0.072,0.066,0.066
18,0.06,0.072,0.07,0.065
19,0.06,0.072,0.07,0.065
20,0.059,0.071,0.073,0.065
,,,,
ESO287-G40,,,,
Arcminute,North,East,South,West
0,0.077,0.077,0.077,0.077
1,0.077,0.077,0.074,0.077
2,0.076,0.078,0.071,0.07
3,0.074,0.073,0.071,0.069
4,0.074,0.073,0.067,0.066
5,0.071,0.07,0.064,0.066
6,0.067,0.066,0.064,0.065
7,0.067,0.066,0.064,0.066
8,0.065,0.065,0.063,0.066
9,0.064,0.065,0.063,0.068
10,0.064,0.065,0.065,0.069
11,0.062,0.064,0.067,0.071
12,0.062,0.064,0.067,0.073
13,0.062,0.064,0.07,0.074
14,0.061,0.064,0.074,0.077
15,0.062,0.064,0.074,0.077
16,0.062,0.064,0.076,0.076
17,0.063,0.063,0.076,0.075
18,0.064,0.062,0.076,0.074
19,0.064,0.062,0.073,0.073
20,0.063,0.063,0.071,0.072
,,,,
M74,,,,
Arcminute,North,East,South,West
0,0.188,0.188,0.188,0.188
1,0.189,0.187,0.188,0.19
2,0.189,0.187,0.188,0.19
3,0.189,0.186,0.187,0.192
4,0.191,0.185,0.187,0.196
5,0.191,0.186,0.187,0.196
6,0.191,0.185,0.183,0.2
7,0.191,0.181,0.183,0.2
8,0.189,0.181,0.181,0.2
9,0.189,0.176,0.175,0.192
10,0.182,0.171,0.175,0.19
11,0.18,0.171,0.171,0.182
12,0.177,0.166,0.167,0.182
13,0.177,0.16,0.167,0.185
14,0.176,0.16,0.164,0.176
15,0.175,0.16,0.154,0.176
16,0.175,0.16,0.154,0.177
17,0.175,0.161,0.152,0.172
18,0.176,0.161,0.147,0.172
19,0.176,0.167,0.147,0.17
20,0.177,0.17,0.145,0.169
,,,,
SDSSJ161609.48+383245.0,,,,
Arcminute,North,East,South,West
0,0.043,0.043,0.043,0.043
1,0.043,0.043,0.044,0.044
2,0.04,0.043,0.045,0.042
3,0.038,0.038,0.045,0.039
4,0.038,0.038,0.045,0.037
5,0.033,0.037,0.045,0.037
6,0.031,0.032,0.045,0.035
7,0.031,0.032,0.044,0.035
8,0.031,0.032,0.043,0.035
9,0.029,0.032,0.043,0.036
10,0.029,0.032,0.043,0.037
11,0.028,0.032,0.042,0.04
12,0.027,0.03,0.042,0.04
13,0.027,0.03,0.042,0.043
14,0.026,0.03,0.042,0.043
15,0.025,0.031,0.042,0.043
16,0.025,0.033,0.042,0.041
17,0.023,0.033,0.042,0.039
18,0.022,0.032,0.042,0.038
19,0.022,0.031,0.042,0.038
20,0.021,0.031,0.042,0.038
,,,,
NGC4038,,,,
Arcminute,North,East,South,West
0,0.124,0.124,0.124,0.124
1,0.124,0.124,0.124,0.124
2,0.125,0.124,0.124,0.124
3,0.125,0.124,0.125,0.123
4,0.125,0.125,0.125,0.12
5,0.125,0.125,0.126,0.12
6,0.125,0.126,0.126,0.116
7,0.124,0.126,0.126,0.113
8,0.122,0.126,0.126,0.111
9,0.122,0.124,0.126,0.111
10,0.12,0.123,0.126,0.108
11,0.116,0.123,0.118,0.107
12,0.116,0.119,0.114,0.107
13,0.114,0.118,0.114,0.107
14,0.114,0.118,0.109,0.107
15,0.114,0.116,0.107,0.107
16,0.113,0.116,0.107,0.108
17,0.112,0.116,0.105,0.108
18,0.112,0.117,0.104,0.108
19,0.111,0.117,0.104,0.108
20,0.111,0.117,0.104,0.107
,,,,
UGC10685,,,,
Arcminute,North,East,South,West
0,0.269,0.269,0.269,0.269
1,0.269,0.275,0.266,0.269
2,0.276,0.276,0.258,0.265
3,0.275,0.276,0.258,0.254
4,0.275,0.275,0.249,0.254
5,0.271,0.269,0.239,0.25
6,0.269,0.269,0.239,0.239
7,0.269,0.27,0.232,0.239
8,0.258,0.266,0.228,0.234
9,0.254,0.266,0.228,0.225
10,0.254,0.258,0.227,0.225
11,0.244,0.253,0.226,0.223
12,0.244,0.253,0.226,0.222
13,0.244,0.252,0.226,0.22
14,0.245,0.253,0.225,0.22
15,0.246,0.253,0.225,0.218
16,0.246,0.251,0.224,0.218
17,0.248,0.25,0.22,0.218
18,0.249,0.25,0.22,0.22
19,0.249,0.25,0.219,0.222
20,0.249,0.247,0.218,0.222
,,,,
ESO138-G10,,,,
Arcminute,North,East,South,West
0,0.591,0.591,0.591,0.591
1,0.591,0.591,0.592,0.581
2,0.591,0.589,0.585,0.574
3,0.592,0.587,0.585,0.553
4,0.592,0.589,0.586,0.52
5,0.595,0.581,0.586,0.493
6,0.594,0.571,0.586,0.476
7,0.594,0.571,0.582,0.46
8,0.59,0.55,0.57,0.46
9,0.576,0.535,0.57,0.468
10,0.576,0.535,0.564,0.488
11,0.563,0.52,0.532,0.496
12,0.54,0.49,0.532,0.493
13,0.54,0.49,0.518,0.504
14,0.532,0.475,0.488,0.513
15,0.508,0.46,0.499,0.516
16,0.508,0.46,0.49,0.517
17,0.502,0.448,0.49,0.506
18,0.492,0.438,0.481,0.5
19,0.492,0.438,0.481,0.482
20,0.484,0.436,0.481,0.474
,,,,
NGC1365 ,,,,
Arcminute,North,East,South,West
0,0.055,0.055,0.055,0.055
1,0.055,0.055,0.055,0.055
2,0.055,0.055,0.055,0.055
3,0.056,0.054,0.055,0.054
4,0.056,0.053,0.055,0.054
5,0.057,0.053,0.053,0.053
6,0.06,0.051,0.053,0.049
7,0.06,0.047,0.049,0.046
8,0.061,0.047,0.047,0.039
9,0.06,0.042,0.047,0.036
10,0.06,0.04,0.04,0.036
11,0.054,0.04,0.039,0.034
12,0.053,0.035,0.039,0.032
13,0.053,0.034,0.039,0.032
14,0.048,0.034,0.038,0.031
15,0.047,0.032,0.038,0.031
16,0.047,0.03,0.037,0.031
17,0.044,0.03,0.036,0.029
18,0.043,0.028,0.036,0.028
19,0.042,0.027,0.036,0.026
20,0.042,0.027,0.034,0.026
,,,,
PGC83768,,,,
Arcminute,North,East,South,West
0,0.029,0.029,0.029,0.029
1,0.03,0.029,0.028,0.028
2,0.03,0.029,0.028,0.027
3,0.03,0.029,0.028,0.026
4,0.031,0.029,0.025,0.026
5,0.031,0.028,0.025,0.025
6,0.032,0.028,0.024,0.025
7,0.031,0.028,0.023,0.023
8,0.031,0.027,0.023,0.023
9,0.028,0.026,0.023,0.022
10,0.026,0.026,0.024,0.02
11,0.026,0.026,0.024,0.02
12,0.024,0.024,0.024,0.02
13,0.023,0.024,0.025,0.019
14,0.023,0.023,0.025,0.018
15,0.022,0.023,0.025,0.018
16,0.023,0.023,0.026,0.018
17,0.023,0.024,0.026,0.019
18,0.023,0.025,0.024,0.02
19,0.022,0.025,0.024,0.021
20,0.022,0.026,0.024,0.021
,,,,
UGC8713 ,,,,
Arcminute,North,East,South,West
0,0.057,0.057,0.057,0.057
1,0.057,0.056,0.057,0.057
2,0.058,0.056,0.056,0.056
3,0.059,0.056,0.056,0.057
4,0.059,0.055,0.056,0.056
5,0.06,0.053,0.056,0.055
6,0.061,0.053,0.056,0.055
7,0.061,0.051,0.056,0.053
8,0.062,0.051,0.055,0.052
9,0.06,0.051,0.052,0.051
10,0.06,0.051,0.052,0.049
11,0.06,0.051,0.051,0.049
12,0.06,0.051,0.048,0.049
13,0.06,0.052,0.048,0.047
14,0.059,0.053,0.047,0.046
15,0.059,0.053,0.044,0.045
16,0.059,0.053,0.044,0.044
17,0.058,0.053,0.043,0.044
18,0.056,0.053,0.042,0.046
19,0.056,0.053,0.042,0.048
20,0.054,0.053,0.041,0.052
,,,,
PGC29010 ,,,,
Arcminute,North,East,South,West
0,0.041,0.041,0.041,0.041
1,0.041,0.042,0.042,0.039
2,0.041,0.043,0.038,0.036
3,0.033,0.041,0.038,0.036
4,0.033,0.04,0.036,0.036
5,0.031,0.04,0.033,0.032
6,0.03,0.038,0.033,0.032
7,0.03,0.038,0.033,0.03
8,0.027,0.038,0.034,0.03
9,0.028,0.037,0.034,0.03
10,0.028,0.038,0.037,0.03
11,0.029,0.038,0.037,0.029
12,0.029,0.038,0.037,0.029
13,0.029,0.038,0.035,0.03
14,0.03,0.038,0.036,0.029
15,0.031,0.037,0.035,0.031
16,0.031,0.035,0.035,0.031
17,0.03,0.035,0.034,0.033
18,0.032,0.035,0.034,0.033
19,0.032,0.034,0.034,0.034
20,0.033,0.034,0.032,0.034
,,,,
UGC5460 ,,,,
Arcminute,North,East,South,West
0,0.029,0.029,0.029,0.029
1,0.027,0.027,0.025,0.028
2,0.027,0.027,0.025,0.027
3,0.026,0.023,0.023,0.025
4,0.021,0.02,0.02,0.024
5,0.021,0.02,0.02,0.024
6,0.019,0.018,0.018,0.026
7,0.017,0.017,0.017,0.026
8,0.017,0.017,0.017,0.028
